average number of rooms per dwelling,% lower status of the population
6.575000000000000178e+00,4.980000000000000426e+00
6.421000000000000263e+00,9.140000000000000568e+00
7.184999999999999609e+00,4.030000000000000249e+00
6.998000000000000220e+00,2.939999999999999947e+00
7.147000000000000242e+00,5.330000000000000071e+00
6.429999999999999716e+00,5.209999999999999964e+00
6.011999999999999567e+00,1.242999999999999972e+01
6.171999999999999709e+00,1.914999999999999858e+01
5.631000000000000227e+00,2.992999999999999972e+01
6.003999999999999559e+00,1.710000000000000142e+01
6.376999999999999780e+00,2.044999999999999929e+01
6.009000000000000341e+00,1.326999999999999957e+01
5.889000000000000234e+00,1.571000000000000085e+01
5.948999999999999844e+00,8.259999999999999787e+00
6.096000000000000085e+00,1.025999999999999979e+01
5.833999999999999631e+00,8.470000000000000639e+00
5.934999999999999609e+00,6.580000000000000071e+00
5.990000000000000213e+00,1.466999999999999993e+01
5.456000000000000405e+00,1.168999999999999950e+01
5.727000000000000313e+00,1.127999999999999936e+01
5.570000000000000284e+00,2.101999999999999957e+01
5.964999999999999858e+00,1.383000000000000007e+01
6.142000000000000348e+00,1.871999999999999886e+01
5.812999999999999723e+00,1.987999999999999901e+01
5.924000000000000377e+00,1.630000000000000071e+01
5.599000000000000199e+00,1.651000000000000156e+01
5.812999999999999723e+00,1.481000000000000050e+01
6.046999999999999709e+00,1.728000000000000114e+01
6.495000000000000107e+00,1.280000000000000071e+01
6.674000000000000377e+00,1.198000000000000043e+01
5.713000000000000078e+00,2.260000000000000142e+01
6.072000000000000064e+00,1.303999999999999915e+01
5.950000000000000178e+00,2.771000000000000085e+01
5.700999999999999623e+00,1.835000000000000142e+01
6.096000000000000085e+00,2.033999999999999986e+01
5.932999999999999829e+00,9.679999999999999716e+00
5.841000000000000192e+00,1.141000000000000014e+01
5.849999999999999645e+00,8.769999999999999574e+00
5.966000000000000192e+00,1.013000000000000078e+01
6.594999999999999751e+00,4.320000000000000284e+00
7.024000000000000021e+00,1.979999999999999982e+00
6.769999999999999574e+00,4.839999999999999858e+00
6.168999999999999595e+00,5.809999999999999609e+00
6.211000000000000298e+00,7.440000000000000391e+00
6.068999999999999950e+00,9.550000000000000711e+00
5.682000000000000384e+00,1.021000000000000085e+01
5.785999999999999588e+00,1.415000000000000036e+01
6.030000000000000249e+00,1.880000000000000071e+01
5.399000000000000021e+00,3.080999999999999872e+01
5.602000000000000313e+00,1.619999999999999929e+01
5.963000000000000078e+00,1.344999999999999929e+01
6.115000000000000213e+00,9.429999999999999716e+00
6.511000000000000121e+00,5.280000000000000249e+00
5.998000000000000220e+00,8.429999999999999716e+00
5.887999999999999901e+00,1.480000000000000071e+01
7.248999999999999666e+00,4.809999999999999609e+00
6.383000000000000007e+00,5.769999999999999574e+00
6.815999999999999837e+00,3.950000000000000178e+00
6.144999999999999574e+00,6.860000000000000320e+00
5.926999999999999602e+00,9.220000000000000639e+00
5.740999999999999659e+00,1.315000000000000036e+01
5.966000000000000192e+00,1.443999999999999950e+01
6.456000000000000405e+00,6.730000000000000426e+00
6.761999999999999567e+00,9.500000000000000000e+00
7.104000000000000092e+00,8.050000000000000711e+00
6.290000000000000036e+00,4.669999999999999929e+00
5.786999999999999922e+00,1.024000000000000021e+01
5.878000000000000114e+00,8.099999999999999645e+00
5.594000000000000306e+00,1.308999999999999986e+01
5.884999999999999787e+00,8.789999999999999147e+00
6.416999999999999815e+00,6.719999999999999751e+00
5.961000000000000298e+00,9.880000000000000782e+00
6.065000000000000391e+00,5.519999999999999574e+00
6.245000000000000107e+00,7.540000000000000036e+00
6.272999999999999687e+00,6.780000000000000249e+00
6.285999999999999588e+00,8.939999999999999503e+00
6.278999999999999915e+00,1.197000000000000064e+01
6.139999999999999680e+00,1.026999999999999957e+01
6.232000000000000206e+00,1.233999999999999986e+01
5.873999999999999666e+00,9.099999999999999645e+00
6.727000000000000313e+00,5.290000000000000036e+00
6.618999999999999773e+00,7.219999999999999751e+00
6.301999999999999602e+00,6.719999999999999751e+00
6.166999999999999815e+00,7.509999999999999787e+00
6.389000000000000234e+00,9.619999999999999218e+00
6.629999999999999893e+00,6.530000000000000249e+00
6.014999999999999680e+00,1.285999999999999943e+01
6.121000000000000441e+00,8.439999999999999503e+00
7.006999999999999673e+00,5.500000000000000000e+00
7.078999999999999737e+00,5.700000000000000178e+00
6.416999999999999815e+00,8.810000000000000497e+00
6.405000000000000249e+00,8.199999999999999289e+00
6.442000000000000171e+00,8.160000000000000142e+00
6.211000000000000298e+00,6.209999999999999964e+00
6.248999999999999666e+00,1.058999999999999986e+01
6.625000000000000000e+00,6.650000000000000355e+00
6.163000000000000256e+00,1.133999999999999986e+01
8.069000000000000838e+00,4.209999999999999964e+00
7.820000000000000284e+00,3.569999999999999840e+00
7.416000000000000369e+00,6.190000000000000391e+00
6.727000000000000313e+00,9.419999999999999929e+00
6.780999999999999694e+00,7.669999999999999929e+00
6.405000000000000249e+00,1.063000000000000078e+01
6.136999999999999567e+00,1.343999999999999950e+01
6.166999999999999815e+00,1.233000000000000007e+01
5.850999999999999979e+00,1.646999999999999886e+01
5.836000000000000298e+00,1.866000000000000014e+01
6.126999999999999780e+00,1.408999999999999986e+01
6.474000000000000199e+00,1.226999999999999957e+01
6.229000000000000092e+00,1.555000000000000071e+01
6.195000000000000284e+00,1.300000000000000000e+01
6.714999999999999858e+00,1.016000000000000014e+01
5.913000000000000256e+00,1.621000000000000085e+01
6.091999999999999638e+00,1.708999999999999986e+01
6.253999999999999559e+00,1.044999999999999929e+01
5.927999999999999936e+00,1.575999999999999979e+01
6.176000000000000156e+00,1.203999999999999915e+01
6.020999999999999908e+00,1.030000000000000071e+01
5.871999999999999886e+00,1.536999999999999922e+01
5.730999999999999872e+00,1.360999999999999943e+01
5.870000000000000107e+00,1.436999999999999922e+01
6.003999999999999559e+00,1.426999999999999957e+01
5.961000000000000298e+00,1.792999999999999972e+01
5.855999999999999872e+00,2.541000000000000014e+01
5.878999999999999559e+00,1.757999999999999829e+01
5.985999999999999766e+00,1.481000000000000050e+01
5.613000000000000433e+00,2.726000000000000156e+01
5.692999999999999616e+00,1.719000000000000128e+01
6.431000000000000050e+00,1.539000000000000057e+01
5.636999999999999567e+00,1.833999999999999986e+01
6.458000000000000185e+00,1.259999999999999964e+01
6.325999999999999623e+00,1.225999999999999979e+01
6.371999999999999886e+00,1.111999999999999922e+01
5.822000000000000064e+00,1.502999999999999936e+01
5.756999999999999673e+00,1.730999999999999872e+01
6.334999999999999964e+00,1.696000000000000085e+01
5.942000000000000171e+00,1.689999999999999858e+01
6.453999999999999737e+00,1.458999999999999986e+01
5.857000000000000206e+00,2.132000000000000028e+01
6.150999999999999801e+00,1.846000000000000085e+01
6.174000000000000377e+00,2.416000000000000014e+01
5.019000000000000128e+00,3.440999999999999659e+01
