x,y
0.317221,0.268321
0.414001,0.706797
0.607560,1.02856
0.607560,1.32197
0.607560,1.70155
1.67213,1.99496
1.38179,2.60904
2.92758,2.87300
2.83080,3.66269
4.86316,3.77940
6.50841,4.36512
9.31233,4.45238
7.57299,4.65744
10.8608,4.74470
12.8932,5.12537
14.8261,4.97921
16.8584,4.83305
18.8881,4.77415
21.4044,5.09592
23.9180,4.68689
25.2729,5.21372
27.4020,4.97921
29.9156,5.33042
32.5286,5.41768
33.9803,5.76890
35.7197,6.44188
37.8488,6.93926
39.6876,6.96871
40.7495,7.61224
43.3625,7.70059
43.3625,8.37358
46.3600,8.72479
47.7149,9.19272
48.8763,9.69009
49.8441,10.0413
