Tourism Year,Foreign Tourists
1964,9526
1965,9388
1966,12567
1967,18093
1968,24209
1969,34901
1970,45970
1971,49914
1972,52930
1973,68047
1974,89838
1975,92440
1976,105108
1977,129329
1978,156123
1979,162276
1980,162897
1981,161669
1982,175448
1983,179405
1984,176634
1985,180989
1986,223331
1987,248080
1988,265943
1989,239945
1990,254885
1991,292995
1992,334995
1993,293567
1994,326531
1995,363395
1996,393613
1997,421857
1998,463684
1999,491504
2000,463646
2001,361237
2002,275468
2003,338132
2004,385297
2005,375398
2006,383926
2007,526705
2008,500277
2009,509956
2010,602867
2011,736215
2012,803092
2013,797616
2014,790118
2015,554747
